date,open,high,low,close,diff,diff_perd,qty
2018-10-26,267.04,267.04,260.16,262.69,-4.03,-1.51,"111,378"
2018-10-25,264.46,267.09,262.97,266.72,-4.64,-1.71,"120,407"
2018-10-24,274.07,274.24,270.64,271.36,-1.18,-0.43,"99,127"
2018-10-23,277.31,277.57,270.72,272.54,-6.86,-2.46,"88,689"
2018-10-22,276.78,279.89,275.99,279.4,0.77,0.28,"62,448"
2018-10-19,275.08,279.03,273.81,278.63,1.15,0.41,"74,645"
2018-10-18,278.73,280.01,277.3,277.48,-2.57,-0.92,"68,805"
2018-10-17,280.07,281.99,279.1,280.05,3.15,1.14,"75,388"
2018-10-16,278.73,279.52,276.22,276.9,-0.29,-0.1,"60,611"
2018-10-15,278.35,278.91,276.49,277.19,-2.18,-0.78,"73,194"
2018-10-12,275.82,281.26,275.43,279.37,4.22,1.53,"101,672"
2018-10-11,281.52,282.65,275.15,275.15,-12.7,-4.41,"144,522"
2018-10-10,290.23,290.37,286.92,287.85,-2.06,-0.71,"117,740"
2018-10-08,290.02,292.29,289.91,289.91,-1.37,-0.47,"69,772"
2018-10-05,291.42,292.66,289.33,291.28,-0.5,-0.17,"93,625"
2018-10-04,296.42,296.42,291.26,291.78,-4.75,-1.6,"107,327"
2018-10-02,300.2,300.93,296.36,296.53,-3.64,-1.21,"86,569"
2018-10-01,301.55,301.97,299.3,300.17,-0.34,-0.11,"77,258"
2018-09-28,302.53,302.64,299.83,300.51,-2.08,-0.69,"111,432"
2018-09-27,299.54,302.6,299.54,302.59,1.78,0.59,"120,499"
2018-09-21,299.84,300.81,298.9,300.81,1.77,0.59,"124,342"
2018-09-20,297.47,300.45,297.12,299.04,2.4,0.81,"97,943"
2018-09-19,297.63,297.72,295.5,296.64,0.54,0.18,"94,195"
2018-09-18,293.06,296.51,293.03,296.1,0.87,0.29,"77,065"
2018-09-17,296.7,296.74,294.14,295.23,-2.06,-0.69,"64,925"
2018-09-14,295.19,297.38,295.04,297.29,4.87,1.67,"83,089"
2018-09-13,292.5,293.42,291.78,292.42,0.07,0.02,"98,537"
2018-09-12,292.74,293.29,290.89,292.35,-0.11,-0.04,"87,629"
2018-09-11,293.42,294.75,291.49,292.46,-1.24,-0.42,"83,407"
2018-09-10,292.37,294.06,292.25,293.7,0.84,0.29,"84,204"
2018-09-07,292.26,293.79,290.69,292.86,-1.42,-0.48,"90,386"
2018-09-06,294.23,295.82,293.62,294.28,-0.68,-0.23,"79,880"
2018-09-05,297.89,298.4,294.37,294.96,-3.84,-1.29,"81,062"
2018-09-04,297.72,299.2,296.86,298.8,1.31,0.44,"64,654"
2018-09-03,299.15,299.28,296.85,297.49,-2.58,-0.86,"64,699"
2018-08-31,296.49,300.07,296.09,300.07,2.02,0.68,"107,570"
2018-08-30,298.44,299.99,297.37,298.05,0,0,"80,676"
2018-08-29,297.31,298.23,296.63,298.05,0.83,0.28,"81,224"
2018-08-28,298.67,298.95,296.6,297.22,0.39,0.13,"84,393"
2018-08-27,296.21,297.34,295.3,296.83,1.29,0.44,"85,301"
2018-08-24,293.26,295.91,292.53,295.54,1.25,0.42,"70,164"
2018-08-23,294.21,294.37,292.39,294.29,1.29,0.44,"73,748"
2018-08-22,292.45,293.83,291.93,293,1.07,0.37,"81,676"
2018-08-21,288.51,292.41,287.94,291.93,3.32,1.15,"79,696"
2018-08-20,289.78,290.93,288.15,288.61,0.04,0.01,"74,150"
2018-08-17,288.57,289.35,287.78,288.57,0.33,0.11,"67,286"
2018-08-16,287.1,289.05,285.42,288.24,-2.84,-0.98,"93,688"
2018-08-14,290.03,291.64,289.61,291.08,1.23,0.42,"75,903"
2018-08-13,291.21,292.09,288.11,289.85,-3.79,-1.29,"94,719"
2018-08-10,295.93,296.1,293.05,293.64,-3.77,-1.27,"94,305"
2018-08-09,297.23,297.41,295.61,297.41,0.22,0.07,"87,043"
2018-08-08,297.97,298.46,296.78,297.19,0.01,0,"76,314"
2018-08-07,295.79,297.38,294.37,297.18,1.94,0.66,"70,324"
2018-08-06,295.79,297.37,294.78,295.24,-0.37,-0.13,"70,149"
2018-08-03,294.45,295.85,293.59,295.61,2.06,0.7,"63,189"
2018-08-02,298.25,298.54,292.89,293.55,-5.14,-1.72,"75,898"
2018-08-01,298.32,299.96,298.06,298.69,1.24,0.42,"70,926"
2018-07-31,297.01,297.79,296.14,297.45,0.16,0.05,"71,873"
2018-07-30,297.01,298,295.99,297.29,-0.49,-0.16,"66,416"
2018-07-27,297.29,297.88,296.21,297.78,0.83,0.28,"71,328"
2018-07-26,296.2,298.22,295.11,296.95,2.1,0.71,"93,045"
2018-07-25,295.99,297.17,294.29,294.85,-0.64,-0.22,"85,722"
